pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
TMO-DHR,2022-11-15 14:44:00+00:00,2022-11-15 14:50:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,111.53323486697516,-71.60353167027488,273.02,548.71,272.58,549.99,-9.36808387999747,-10.62983464018356,-1.2617507601860893,-2.325525542954836,-3.1116632918746783,-0.7861377489198422,-144.21629165658743,3.4891477771687285,adverse
TMO-DHR,2022-11-15 14:54:00+00:00,2022-11-15 14:55:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,111.78298808186761,-71.76387143136611,272.41,548.78,272.68,550.44,-10.023023374695015,-10.818731391811468,-0.7957080171164534,-2.606714024798423,-3.1149754365556666,-0.5082614117572435,-92.44575432301363,3.499134529042241,adverse
TMO-DHR,2022-11-15 14:56:00+00:00,2022-11-15 14:57:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,111.67230373838036,-71.69281288183382,272.68,549.665,273.11,551.03,-10.321186986229975,-10.76750713283468,-0.4463201466047053,-2.7641295574674016,-3.037342125659802,-0.27321256819240025,-53.3417846540128,3.5001856778132976,adverse
TMO-DHR,2022-11-15 14:58:00+00:00,2022-11-15 15:02:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,111.46383024042446,-71.55897440103388,273.19,550.64,273.41,551.895,-10.437129948090444,-11.02283088874168,-0.5857009406512361,-2.799420542698598,-3.0947824620509166,-0.2953619193523185,-68.78288852055543,3.4984183001546523,adverse
MAR-HLT,2022-11-15 14:32:00+00:00,2022-11-15 16:31:00+00:00,-1,13.600261705034976,0.7631435750005557,208.80980328904414,-199.468518479992,152.22311829288552,142.17,163.0,141.02,162.63,4.17733556987443,3.3096986926246643,-0.8676368772497653,2.407305442515627,0.36354566770363334,-2.0437597748119933,170.42198767341694,2.6442548102010224,mean_revert
TMO-DHR,2022-11-15 15:06:00+00:00,2022-11-15 18:34:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,111.65592469705763,-71.68229765553843,272.72,550.08,268.58,540.55,-10.547613990509035,-8.569422783810921,1.9781912066981135,-2.691551616570458,-0.21886588437265303,2.472685732197805,217.4399476988222,3.4368207126418513,mean_revert
UPS-FDX,2022-11-15 18:58:00+00:00,2022-11-15 20:06:00+00:00,1,-30.450172403158493,1.1200625397602408,326.5447473209204,263.7969216231999,-295.4690500142145,174.83,179.16,176.15,180.85,4.6097677797137635,4.036862087518955,-0.5729056921948086,-1.7044309442450962,-3.080501222999306,-1.3760702787542098,-156.12592825334957,4.995170271949867,adverse
UPS-FDX,2022-11-15 20:16:00+00:00,2022-11-15 20:17:00+00:00,1,-30.450172403158493,1.1200625397602408,326.5447473209204,260.8193893365758,-292.13402763904014,176.52,181.16,176.41,181.18,4.0596427001932796,3.9272414493980534,-0.13240125079522613,-2.891879035707889,-3.0693298734909202,-0.17745083778303128,-39.479812959836025,4.946999580025332,adverse
UPS-FDX,2022-11-15 20:18:00+00:00,2022-11-15 20:59:00+00:00,1,-30.450172403158493,1.1200625397602408,326.5447473209204,260.628294640329,-291.91998962822726,176.565,181.22,176.4,181.53,4.037438947807658,3.525219560481986,-0.512219387325672,-2.9091699390173353,-3.145201539156218,-0.2360316001388827,-138.44721874499163,4.9483533445883054,adverse
MAR-HLT,2022-11-15 18:46:00+00:00,2022-11-16 14:30:00+00:00,1,13.600261705034976,0.7631435750005557,208.80980328904414,429.3781055391321,-327.6771424880992,138.79,160.68,136.725,160.62,2.56782866387573,0.5486172783757581,-2.019211385499972,-1.701456422710795,-3.922033300556245,-2.22057687784545,-872.5720705943339,5.566911205313817,adverse
UPS-FDX,2022-11-16 14:31:00+00:00,2022-11-16 14:32:00+00:00,1,-30.450172403158493,1.1200625397602408,326.5447473209204,256.26065125856536,-287.02795588928205,175.22,180.35,174.47,179.81,3.6668933573990614,3.5217271288695713,-0.14516622852949013,-2.9299664836976813,-3.093937783426771,-0.16397129972908964,-42.01640689239069,4.816014628676685,adverse
MAR-HLT,2022-11-16 14:31:00+00:00,2022-11-16 14:32:00+00:00,1,13.600261705034976,0.7631435750005557,208.80980328904414,421.94254880774565,-322.0027451419895,137.64,161.04,137.585,161.18,1.143096976875512,0.9812568763754541,-0.16184010050005782,-2.982121925696597,-3.197807721867915,-0.2156857961713179,-73.78489290628517,5.497668401984978,adverse
UPS-FDX,2022-11-16 14:36:00+00:00,2022-11-16 14:37:00+00:00,1,-30.450172403158493,1.1200625397602408,326.5447473209204,262.7060346172181,-294.24718834370304,174.42,179.75,174.16,179.715,3.5389308812551974,3.318133070146814,-0.22079781110838326,-2.992471907209978,-3.2435980289351587,-0.2511261217251808,-62.936593230551885,4.931675822106166,adverse
