,equity
2023-04-13 19:41:00+00:00,11767.649689955979
2023-04-13 19:42:00+00:00,11767.649689955979
2023-04-13 19:43:00+00:00,11767.649689955979
2023-04-13 19:44:00+00:00,11767.649689955979
2023-04-13 19:45:00+00:00,11767.649689955979
2023-04-13 19:46:00+00:00,11767.649689955979
2023-04-13 19:47:00+00:00,11767.649689955979
2023-04-13 19:48:00+00:00,11767.649689955979
2023-04-13 19:49:00+00:00,11767.649689955979
2023-04-13 19:50:00+00:00,11767.649689955979
2023-04-13 19:51:00+00:00,11767.649689955979
2023-04-13 19:52:00+00:00,11767.649689955979
2023-04-13 19:53:00+00:00,11767.649689955979
2023-04-13 19:54:00+00:00,11767.649689955979
2023-04-13 19:55:00+00:00,11767.649689955979
2023-04-13 19:56:00+00:00,11767.649689955979
2023-04-13 19:57:00+00:00,11767.649689955979
2023-04-13 19:58:00+00:00,11767.649689955979
2023-04-13 19:59:00+00:00,11767.649689955979
2023-04-14 13:30:00+00:00,11767.649689955979
2023-04-14 13:31:00+00:00,11724.569189540045
2023-04-14 13:32:00+00:00,11724.569189540045
2023-04-14 13:33:00+00:00,11845.030147075311
2023-04-14 13:34:00+00:00,11845.030147075311
2023-04-14 13:35:00+00:00,11845.030147075311
2023-04-14 13:36:00+00:00,11845.030147075311
2023-04-14 13:37:00+00:00,11845.030147075311
2023-04-14 13:38:00+00:00,11845.030147075311
2023-04-14 13:39:00+00:00,11845.030147075311
2023-04-14 13:40:00+00:00,11845.030147075311
2023-04-14 13:41:00+00:00,11845.030147075311
2023-04-14 13:42:00+00:00,11845.030147075311
2023-04-14 13:43:00+00:00,11845.030147075311
2023-04-14 13:44:00+00:00,11845.030147075311
2023-04-14 13:45:00+00:00,11845.030147075311
2023-04-14 13:46:00+00:00,11845.030147075311
2023-04-14 13:47:00+00:00,11845.030147075311
2023-04-14 13:48:00+00:00,11845.030147075311
2023-04-14 13:49:00+00:00,11845.030147075311
2023-04-14 13:50:00+00:00,11845.030147075311
2023-04-14 13:51:00+00:00,11753.941455440776
2023-04-14 13:52:00+00:00,11753.941455440776
2023-04-14 13:53:00+00:00,11723.41801693541
2023-04-14 13:54:00+00:00,11723.41801693541
2023-04-14 13:55:00+00:00,11723.41801693541
2023-04-14 13:56:00+00:00,11723.41801693541
2023-04-14 13:57:00+00:00,11723.41801693541
2023-04-14 13:58:00+00:00,11723.41801693541
2023-04-14 13:59:00+00:00,11723.41801693541
2023-04-14 14:00:00+00:00,11723.41801693541
2023-04-14 14:01:00+00:00,11632.12170906421
2023-04-14 14:02:00+00:00,11632.12170906421
2023-04-14 14:03:00+00:00,11632.12170906421
2023-04-14 14:04:00+00:00,11632.12170906421
2023-04-14 14:05:00+00:00,11632.12170906421
2023-04-14 14:06:00+00:00,11632.12170906421
2023-04-14 14:07:00+00:00,11632.12170906421
2023-04-14 14:08:00+00:00,11632.12170906421
2023-04-14 14:09:00+00:00,11632.12170906421
2023-04-14 14:10:00+00:00,11632.12170906421
2023-04-14 14:11:00+00:00,11632.12170906421
2023-04-14 14:12:00+00:00,11632.12170906421
2023-04-14 14:13:00+00:00,11632.12170906421
2023-04-14 14:14:00+00:00,11632.12170906421
2023-04-14 14:15:00+00:00,11632.12170906421
2023-04-14 14:16:00+00:00,11632.12170906421
2023-04-14 14:17:00+00:00,11632.12170906421
2023-04-14 14:18:00+00:00,11632.12170906421
2023-04-14 14:19:00+00:00,11632.12170906421
2023-04-14 14:20:00+00:00,11632.12170906421
2023-04-14 14:21:00+00:00,11632.12170906421
2023-04-14 14:22:00+00:00,11632.12170906421
2023-04-14 14:23:00+00:00,11632.12170906421
2023-04-14 14:24:00+00:00,11632.12170906421
2023-04-14 14:25:00+00:00,11632.12170906421
2023-04-14 14:26:00+00:00,11632.12170906421
2023-04-14 14:27:00+00:00,11632.12170906421
2023-04-14 14:28:00+00:00,11632.12170906421
2023-04-14 14:29:00+00:00,11632.12170906421
2023-04-14 14:30:00+00:00,11632.12170906421
2023-04-14 14:31:00+00:00,11632.12170906421
2023-04-14 14:32:00+00:00,11632.12170906421
2023-04-14 14:33:00+00:00,11632.12170906421
2023-04-14 14:34:00+00:00,11632.12170906421
2023-04-14 14:35:00+00:00,11632.12170906421
2023-04-14 14:36:00+00:00,11632.12170906421
2023-04-14 14:37:00+00:00,11632.12170906421
2023-04-14 14:38:00+00:00,11672.526055574048
2023-04-14 14:39:00+00:00,11672.526055574048
2023-04-14 14:40:00+00:00,11672.526055574048
2023-04-14 14:41:00+00:00,11672.526055574048
2023-04-14 14:42:00+00:00,11672.526055574048
2023-04-14 14:43:00+00:00,11651.235859563763
2023-04-14 14:44:00+00:00,11651.235859563763
2023-04-14 14:45:00+00:00,11651.235859563763
2023-04-14 14:46:00+00:00,11651.235859563763
2023-04-14 14:47:00+00:00,11628.115009934712
2023-04-14 14:48:00+00:00,11628.115009934712
2023-04-14 14:49:00+00:00,11628.115009934712
2023-04-14 14:50:00+00:00,11628.115009934712
2023-04-14 14:51:00+00:00,11628.115009934712
2023-04-14 14:52:00+00:00,11628.115009934712
2023-04-14 14:53:00+00:00,11628.115009934712
2023-04-14 14:54:00+00:00,11608.167599077726
2023-04-14 14:55:00+00:00,11608.167599077726
2023-04-14 14:56:00+00:00,11608.167599077726
2023-04-14 14:57:00+00:00,11608.167599077726
2023-04-14 14:58:00+00:00,11608.167599077726
2023-04-14 14:59:00+00:00,11608.167599077726
2023-04-14 15:00:00+00:00,11608.167599077726
2023-04-14 15:01:00+00:00,11608.167599077726
2023-04-14 15:02:00+00:00,11608.167599077726
2023-04-14 15:03:00+00:00,11608.167599077726
2023-04-14 15:04:00+00:00,11608.167599077726
2023-04-14 15:05:00+00:00,11608.167599077726
2023-04-14 15:06:00+00:00,11654.86559439894
2023-04-14 15:07:00+00:00,11654.86559439894
2023-04-14 15:08:00+00:00,11654.86559439894
2023-04-14 15:09:00+00:00,11654.86559439894
2023-04-14 15:10:00+00:00,11654.86559439894
2023-04-14 15:11:00+00:00,11654.86559439894
2023-04-14 15:12:00+00:00,11654.86559439894
2023-04-14 15:13:00+00:00,11654.86559439894
2023-04-14 15:14:00+00:00,11654.86559439894
2023-04-14 15:15:00+00:00,11654.86559439894
2023-04-14 15:16:00+00:00,11688.078310442803
2023-04-14 15:17:00+00:00,11688.078310442803
2023-04-14 15:18:00+00:00,11688.078310442803
2023-04-14 15:19:00+00:00,11688.078310442803
2023-04-14 15:20:00+00:00,11688.078310442803
2023-04-14 15:21:00+00:00,11688.078310442803
2023-04-14 15:22:00+00:00,11688.078310442803
2023-04-14 15:23:00+00:00,11688.078310442803
2023-04-14 15:24:00+00:00,11688.078310442803
2023-04-14 15:25:00+00:00,11688.078310442803
2023-04-14 15:26:00+00:00,11688.078310442803
2023-04-14 15:27:00+00:00,11688.078310442803
2023-04-14 15:28:00+00:00,11688.078310442803
2023-04-14 15:29:00+00:00,11688.078310442803
2023-04-14 15:30:00+00:00,11688.078310442803
2023-04-14 15:31:00+00:00,11688.078310442803
2023-04-14 15:32:00+00:00,11688.078310442803
2023-04-14 15:33:00+00:00,11688.078310442803
2023-04-14 15:34:00+00:00,11688.078310442803
2023-04-14 15:35:00+00:00,11688.078310442803
2023-04-14 15:36:00+00:00,11688.078310442803
2023-04-14 15:37:00+00:00,11688.078310442803
2023-04-14 15:38:00+00:00,11688.078310442803
2023-04-14 15:39:00+00:00,11688.078310442803
2023-04-14 15:40:00+00:00,11688.078310442803
2023-04-14 15:41:00+00:00,11688.078310442803
